City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,62.01,46,100,8.01,NZ,2021-03-04 06:38:28
1,Dikson,73.5069,80.5464,-26.12,83,3,12.64,RU,2021-03-04 06:38:29
2,Waipawa,-41.4122,175.5153,66.2,63,31,17.27,NZ,2021-03-04 06:38:29
3,Udachnyy,66.4167,112.4,-18.6,79,0,5.7,RU,2021-03-04 06:38:29
4,Punta Arenas,-53.15,-70.9167,50.0,76,0,17.27,CL,2021-03-04 06:38:30
5,College,64.8569,-147.8028,-2.0,77,90,2.06,US,2021-03-04 06:38:30
6,Gushikawa,26.3544,127.8686,73.4,68,90,16.11,JP,2021-03-04 06:38:30
7,Hithadhoo,-0.6,73.0833,83.26,59,0,7.9,MV,2021-03-04 06:38:31
8,Rawson,-43.3002,-65.1023,60.39,84,87,15.73,AR,2021-03-04 06:38:31
9,Constitucion,-35.3333,-72.4167,62.69,60,0,7.14,CL,2021-03-04 06:36:13
10,New Norfolk,-42.7826,147.0587,64.4,36,0,21.85,AU,2021-03-04 06:38:32
11,Guantanamo,20.1444,-75.2092,77.0,78,90,3.44,CU,2021-03-04 06:38:32
12,Provideniya,64.3833,-173.3,1.4,71,90,17.9,RU,2021-03-04 06:38:32
13,Meulaboh,4.1363,96.1285,86.52,68,8,7.31,ID,2021-03-04 06:38:32
14,Paka,4.6374,103.4368,86.0,79,40,9.22,MY,2021-03-04 06:37:23
15,Rikitea,-23.1203,-134.9692,80.15,79,16,8.16,PF,2021-03-04 06:38:33
16,Rio Pomba,-21.2747,-43.1792,63.0,95,100,1.01,BR,2021-03-04 06:38:33
17,Berdigestyakh,62.0989,126.6992,-19.41,84,100,9.26,RU,2021-03-04 06:38:33
18,Mataura,-46.1927,168.8643,62.01,46,98,8.01,NZ,2021-03-04 06:38:34
19,Butaritari,3.0707,172.7902,81.41,81,16,17.9,KI,2021-03-04 06:38:34
20,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,1,4.05,CA,2021-03-04 06:38:34
21,Xam Nua,20.4197,104.0439,82.99,44,2,3.8,LA,2021-03-04 06:38:34
22,Ous,60.9058,61.5186,23.61,83,34,6.44,RU,2021-03-04 06:38:35
23,Avarua,-21.2078,-159.775,80.6,83,68,1.14,CK,2021-03-04 06:34:35
24,Puerto Ayora,-0.7393,-90.3518,75.0,96,5,0.63,EC,2021-03-04 06:38:35
25,Vaini,-21.2,-175.2,80.6,83,75,9.22,TO,2021-03-04 06:38:35
26,Marshfield,44.6689,-90.1718,32.0,64,90,6.91,US,2021-03-04 06:38:35
27,Pangnirtung,66.1451,-65.7125,10.38,85,100,2.24,CA,2021-03-04 06:38:36
28,Klaksvik,62.2266,-6.589,24.8,93,62,6.38,FO,2021-03-04 06:38:36
29,Tabory,58.5198,64.5495,25.16,97,100,6.11,RU,2021-03-04 06:38:36
30,Puri,19.8,85.85,91.4,38,0,4.47,IN,2021-03-04 06:38:36
31,Cherskiy,68.75,161.3,-6.79,91,100,2.93,RU,2021-03-04 06:38:37
32,Paamiut,61.994,-49.6678,43.02,48,100,15.86,GL,2021-03-04 06:38:37
33,Surt,31.2089,16.5887,56.62,69,0,14.85,LY,2021-03-04 06:38:37
34,Estelle,29.8458,-90.1067,53.6,100,1,4.61,US,2021-03-04 06:38:38
35,Cayenne,4.9333,-52.3333,79.0,94,90,4.61,GF,2021-03-04 06:38:38
36,Mahebourg,-20.4081,57.7,84.2,65,40,9.22,MU,2021-03-04 06:38:38
37,Plymouth,41.8334,-70.8328,39.2,56,90,4.61,US,2021-03-04 06:36:36
38,Palmer,42.1584,-72.3287,37.4,60,90,3.44,US,2021-03-04 06:38:39
39,Takoradi,4.8845,-1.7554,79.92,89,98,9.19,GH,2021-03-04 06:38:39
40,Esperance,-33.8667,121.9,68.0,88,90,14.97,AU,2021-03-04 06:38:39
41,Souillac,-20.5167,57.5167,84.2,65,40,9.22,MU,2021-03-04 06:38:39
42,Sobolevo,54.4299,31.8996,30.47,97,100,11.52,RU,2021-03-04 06:38:40
43,Husavik,66.0449,-17.3389,35.6,80,0,12.8,IS,2021-03-04 06:38:40
44,Uchaly,54.2996,59.4521,20.88,75,1,13.04,RU,2021-03-04 06:38:40
45,East London,-33.0153,27.9116,71.6,83,75,5.75,ZA,2021-03-04 06:38:40
46,Bredasdorp,-34.5322,20.0403,66.2,94,96,5.75,ZA,2021-03-04 06:38:41
47,Sitka,57.0531,-135.33,35.6,93,90,6.91,US,2021-03-04 06:38:41
48,Anloga,5.7947,0.8973,82.4,89,20,9.22,GH,2021-03-04 06:38:41
49,Pingxiang,27.6167,113.85,60.35,70,87,3.96,CN,2021-03-04 06:38:42
50,Nome,64.5011,-165.4064,-2.2,71,1,9.22,US,2021-03-04 06:38:42
51,Saint George,37.1041,-113.5841,48.0,71,90,11.5,US,2021-03-04 06:38:43
52,Mount Gambier,-37.8333,140.7667,64.4,68,90,17.27,AU,2021-03-04 06:38:43
53,Ushuaia,-54.8,-68.3,46.4,87,0,5.75,AR,2021-03-04 06:38:39
54,Kruisfontein,-34.0033,24.7314,66.99,86,0,1.01,ZA,2021-03-04 06:38:43
55,Jamestown,42.097,-79.2353,34.0,98,90,9.35,US,2021-03-04 06:34:32
56,Busselton,-33.65,115.3333,79.0,71,12,1.01,AU,2021-03-04 06:38:44
